Mitigation Project,Select,CO2,NOx,SO2,PM2.5,CH4,VOC,CO,NH3,BC,N2O,Cost
Large Solar Park,true,60,0,0,0,0,0,0,0,0,0,4000
Small Solar Installations,true,18,0,0,0,0,0,0,0,0,0,1200
Wind Farm,true,55,0,0,0,0,0,0,0,0,0,3800
Gas-to-renewables conversion,true,25,1,0.2,0.1,1.5,0.5,2,0.05,0.01,0.3,3200
Boiler Retrofit,true,20,0.9,0.4,0.2,0.1,0.05,1.2,0.02,0.01,0.05,1400
Catalytic Converters for Buses,true,30,2.8,0.6,0.8,0,0.5,5,0.01,0.05,0.02,2600
Diesel Bus Replacement,true,48,3.2,0.9,1,0,0.7,6,0.02,0.08,0.03,5000
Traffic Signal/Flow Upgrade,true,12,0.6,0.1,0.4,0.05,0.2,3,0.02,0.02,0.01,1000
Low-Emission Stove Program,true,2,0.02,0.01,0.7,0,0.01,1.5,0.03,0.2,0,180
Residential Insulation/Efficiency,true,15,0.1,0.05,0.05,0.02,0.02,0.5,0,0,0.01,900
Industrial Scrubbers,true,6,0.4,6,0.4,0,0.1,0.6,0.01,0.01,0,4200
Waste Methane Capture System,true,28,0.2,0.1,0.05,8,0.2,0.1,0,0,0.05,3600
Landfill Gas-to-energy,true,24,0.15,0.05,0.03,6.5,0.1,0.05,0,0,0.03,3400
Reforestation (acre-package),true,3.5,0.04,0.02,0.01,0.8,0.03,0.1,0.01,0.005,0.005,220
Urban Tree Canopy Program (street trees),true,4.2,0.06,0.01,0.03,0.6,0.02,0.15,0.005,0.02,0.002,300
Industrial Energy Efficiency Retrofit,true,22,0.5,0.3,0.15,0.2,0.1,1,0.01,0.01,0.03,1600
Natural Gas Leak Repair,true,10,0.05,0.01,0.01,4,0.02,0.02,0.02,0,0.01,1800
Agricultural Methane Reduction,true,8,0.02,0.01,0.02,7.2,0.05,0.02,0.1,0,0.05,2800
Clean Cookstove & Fuel Switching (community scale),true,3.2,0.04,0.02,0.9,0.1,0.02,2,0.05,0.25,0,450
Rail Electrification,true,80,2,0.4,1.2,0,0.6,10,0.02,0.1,0.05,6000
EV Charging Infrastructure,true,20,0.3,0.05,0.1,0,0.05,0.5,0.01,0.01,0.01,2200
Biochar for soils (per project unit),true,6,0.01,0,0.01,2.5,0.01,0.01,0.2,0,0.02,1400
Industrial VOC,true,2,0.01,0,0,0,6.5,0.1,0,0,0,2600
Heavy-Duty Truck Retrofit,true,36,2.2,0.6,0.6,0,0.3,4.2,0.01,0.04,0.02,4200
Port/Harbor Electrification,true,28,1.9,0.8,0.7,0,0.2,3.6,0.01,0.03,0.02,4800
Black Carbon reduction,true,1.8,0.02,0.01,0.6,0.05,0.01,1,0.02,0.9,0,600
Wetlands restoration,true,10,0.03,0.02,0.02,3.2,0.01,0.05,0.15,0.02,0.04,1800
Household LPG conversion program,true,2.5,0.03,0.01,0.4,0.05,0.02,1.2,0.03,0.1,0,700
Industrial process change,true,3,0.02,0.01,0,0,0,0,0,0,1.5,5000
Behavioral demand-reduction program,true,9,0.4,0.05,0.05,0.01,0.3,2.5,0.01,0.01,0.01,400
